Original MusicXML File,Converted Kern File,Status
olimpic-1.0-synthetic/samples/6183554/p1-s2.musicxml,converted_kern2/6183554_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6183554/p1-s3.musicxml,converted_kern2/6183554_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/6183554/p2-s4.musicxml,converted_kern2/6183554_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/6183554/p1-s4.musicxml,converted_kern2/6183554_p1-s4.krn,Success
olimpic-1.0-synthetic/samples/6183554/p2-s2.musicxml,converted_kern2/6183554_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/6183554/p2-s3.musicxml,converted_kern2/6183554_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/6183554/p1-s1.musicxml,converted_kern2/6183554_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6183554/p2-s1.musicxml,converted_kern2/6183554_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/6995255/p1-s2.musicxml,converted_kern2/6995255_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6995255/p1-s3.musicxml,converted_kern2/6995255_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/6995255/p2-s5.musicxml,converted_kern2/6995255_p2-s5.krn,Success
olimpic-1.0-synthetic/samples/6995255/p2-s4.musicxml,converted_kern2/6995255_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/6995255/p1-s4.musicxml,converted_kern2/6995255_p1-s4.krn,Success
olimpic-1.0-synthetic/samples/6995255/p2-s2.musicxml,converted_kern2/6995255_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/6995255/p2-s3.musicxml,converted_kern2/6995255_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/6995255/p1-s1.musicxml,converted_kern2/6995255_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6995255/p2-s1.musicxml,converted_kern2/6995255_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/6725890/p1-s2.musicxml,converted_kern2/6725890_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6725890/p1-s3.musicxml,converted_kern2/6725890_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/6725890/p1-s4.musicxml,converted_kern2/6725890_p1-s4.krn,Success
olimpic-1.0-synthetic/samples/6725890/p1-s1.musicxml,converted_kern2/6725890_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6230260/p4-s2.musicxml,converted_kern2/6230260_p4-s2.krn,Success
olimpic-1.0-synthetic/samples/6230260/p4-s3.musicxml,converted_kern2/6230260_p4-s3.krn,Success
olimpic-1.0-synthetic/samples/6230260/p1-s2.musicxml,converted_kern2/6230260_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6230260/p1-s3.musicxml,converted_kern2/6230260_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/6230260/p2-s4.musicxml,converted_kern2/6230260_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/6230260/p2-s2.musicxml,converted_kern2/6230260_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/6230260/p2-s3.musicxml,converted_kern2/6230260_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/6230260/p3-s1.musicxml,converted_kern2/6230260_p3-s1.krn,Failure
