Filename,GPT Verdict,Diff Snippet
6587611_p2-s2.musicxml,"-        </note>
-      <note default-x=""308.50"" default-y=""-186.27"">
-        <chord />
-        <pitch>
-          <step>F</step>
-          <octave>4","--- 
+++ 
@@ -1,720 +1,601 @@
-<?xml version='1.0' encoding='utf-8'?>
-<score-partwise version=""3.1""><part-list><score-part id=""P2""><part-name>Piano</part-name></score-part></part-list><part id=""P2""><measure number=""16"" width=""505.27"">
-      <print>
-        <staff-layout number=""1"">
-          <staff-distance>111.27</staff-distance>
-          </staff-layout>
-        <staff-layout number=""2"">
-          <staff-distance>88.22</staff-distance>
-          </staff-layout>
-        </print>
-      <attributes><divisions>12</divisions>
-        <key>
-          <fifths>-1</fifths>
-          </key>
-        <staves>2</staves>
-        <clef number=""1"">
-          <sign>G</sign>
-          <line>2</line>
-          </clef>
-        <clef number=""2"">
-          <sign>F</sign>
-          <line>4</line>
-          </clef>
-        </attributes><direction placement=""below"">
-        <direction-type>
-          <dynamics default-x=""6.50"" default-y=""-43.04"" relative-y=""-40.00"">
-            <sf />
-            </dynamics>
-          </direction-type>
-        <staff>1</staff>
-        <sound dynamics=""124.44"" />
-        </direction>
-      <direction placement=""below"">
-        <direction-type>
-          <wedge type=""diminuendo"" number=""1"" default-y=""-78.04"" />
-          </direction-type>
-        <staff>1</staff>
-        </direction>
-      <note default-x=""92.02"" default-y=""-206.27"">
-        <pitch>
-          <step>B</step>
-          <octave>3</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>quarter</type>
-        <accidental>natural</accidental>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""92.02"" default-y=""-186.27"">
-        <chord />
-        <pitch>
-          <step>F</step>
-          <octave>4</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>quarter</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""92.02"" default-y=""-176.27"">
-        <chord />
-        <pitch>
-          <step>A</step>
-          <octave>4</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>quarter</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <direction placement=""below"">
-        <direction-type>
-          <wedge type=""stop"" number=""1"" />
-          </direction-type>
-        <staff>1</staff>
-        </direction>
-      <note default-x=""308.50"" default-y=""-206.27"">
-        <pitch>
-          <step>B</step>
-          <octave>3</octave>
-          </pitch>
-        <duration>6</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        <beam number=""1"">begin</beam>
-        <notations>
-          <slur type=""start"" placement=""below"" number=""1"" />
-          <articulations>
-            <staccato />
-            </articulations>
-          </notations>"
6474919_p1-s3.musicxml,"-        <duration>30</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note","--- 
+++ 
@@ -1,1085 +1,877 @@
-<?xml version='1.0' encoding='utf-8'?>
-<score-partwise version=""3.1""><part-list><score-part id=""P2""><part-name>Piano</part-name></score-part></part-list><part id=""P2""><measure number=""9"" width=""363.28"">
-      <print>
-        <staff-layout number=""1"">
-          <staff-distance>81.01</staff-distance>
-          </staff-layout>
-        <staff-layout number=""2"">
-          <staff-distance>85.58</staff-distance>
-          </staff-layout>
-        </print>
-      <attributes><divisions>60</divisions>
-        <key>
-          <fifths>-5</fifths>
-          </key>
-        <staves>2</staves>
-        <clef number=""1"">
-          <sign>G</sign>
-          <line>2</line>
-          </clef>
-        <clef number=""2"">
-          <sign>F</sign>
-          <line>4</line>
-          </clef>
-        </attributes><note default-x=""122.98"" default-y=""-176.01"">
-        <pitch>
-          <step>B</step>
-          <alter>-1</alter>
-          <octave>3</octave>
-          </pitch>
-        <duration>30</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        <beam number=""1"">begin</beam>
-        <notations>
-          <slur type=""start"" placement=""below"" number=""1"" />
-          </notations>
-        </note>
-      <note default-x=""122.98"" default-y=""-151.01"">
-        <chord />
-        <pitch>
-          <step>G</step>
-          <alter>-1</alter>
-          <octave>4</octave>
-          </pitch>
-        <duration>30</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""158.76"" default-y=""-181.01"">
-        <pitch>
-          <step>A</step>
-          <alter>-1</alter>
-          <octave>3</octave>
-          </pitch>
-        <duration>30</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        <beam number=""1"">end</beam>
-        </note>
-      <note default-x=""158.76"" default-y=""-156.01"">
-        <chord />
-        <pitch>
-          <step>F</step>
-          <octave>4</octave>
-          </pitch>
-        <duration>30</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""194.54"" default-y=""-186.01"">
-        <pitch>
-          <step>G</step>
-          <alter>-1</alter>
-          <octave>3</octave>
-          </pitch>
-        <duration>30</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        <beam number=""1"">begin</beam>
-        </note>
-      <note default-x=""194.54"" default-y=""-161.01"">
-        <chord />
-        <pitch>
-          <step>E</step>
-          <alter>-1</alter>
-          <octave>4</octave>
-          </pitch>"
6586675_p4-s3.musicxml,"-          <step>F</step>
-          <octave>4</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <","--- 
+++ 
@@ -1,645 +1,573 @@
-<?xml version='1.0' encoding='utf-8'?>
-<score-partwise version=""3.1""><part-list><score-part id=""P2""><part-name>Piano</part-name></score-part></part-list><part id=""P2""><measure number=""36"" width=""506.65"">
-      <print>
-        <staff-layout number=""1"">
-          <staff-distance>92.04</staff-distance>
-          </staff-layout>
-        <staff-layout number=""2"">
-          <staff-distance>65.00</staff-distance>
-          </staff-layout>
-        </print>
-      <attributes><divisions>24</divisions>
-        <key>
-          <fifths>-5</fifths>
-          </key>
-        <staves>2</staves>
-        <clef number=""1"">
-          <sign>G</sign>
-          <line>2</line>
-          </clef>
-        <clef number=""2"">
-          <sign>F</sign>
-          <line>4</line>
-          </clef>
-        </attributes><note>
-        <rest />
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <staff>1</staff>
-        </note>
-      <note default-x=""185.79"" default-y=""-192.04"">
-        <pitch>
-          <step>A</step>
-          <alter>-1</alter>
-          <octave>3</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        <beam number=""1"">begin</beam>
-        </note>
-      <note default-x=""185.79"" default-y=""-177.04"">
-        <chord />
-        <pitch>
-          <step>D</step>
-          <alter>-1</alter>
-          <octave>4</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""185.79"" default-y=""-167.04"">
-        <chord />
-        <pitch>
-          <step>F</step>
-          <octave>4</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""248.60"" default-y=""-192.04"">
-        <pitch>
-          <step>A</step>
-          <alter>-1</alter>
-          <octave>3</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        <beam number=""1"">end</beam>
-        </note>
-      <note default-x=""248.60"" default-y=""-177.04"">
-        <chord />
-        <pitch>
-          <step>D</step>
-          <alter>-1</alter>
-          <octave>4</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""248.60"" default-y=""-167.04"">
-        <chord />
-        <pitch>"
6877530_p9-s2.musicxml,"-        <staff>1</staff>
-        <beam number=""1"">begin</beam>
-        <beam number=""2"">begin</beam>
-        <beam number=""3"">begin</beam>
-        <beam number=""4"">","--- 
+++ 
@@ -1,1285 +1,1075 @@
-<?xml version='1.0' encoding='utf-8'?>
-<score-partwise version=""3.1""><part-list><score-part id=""P2""><part-name>Piano</part-name></score-part></part-list><part id=""P2""><measure number=""110"" width=""409.84"">
-      <print>
-        <staff-layout number=""1"">
-          <staff-distance>121.41</staff-distance>
-          </staff-layout>
-        <staff-layout number=""2"">
-          <staff-distance>67.94</staff-distance>
-          </staff-layout>
-        </print>
-      <attributes><divisions>4</divisions>
-        <key>
-          <fifths>-1</fifths>
-          </key>
-        <staves>2</staves>
-        <clef number=""1"">
-          <sign>G</sign>
-          <line>2</line>
-          </clef>
-        <clef number=""2"">
-          <sign>F</sign>
-          <line>4</line>
-          </clef>
-        </attributes><note default-x=""96.60"" default-y=""-151.41"">
-        <pitch>
-          <step>A</step>
-          <alter>-1</alter>
-          <octave>5</octave>
-          </pitch>
-        <duration>1</duration>
-        <voice>1</voice>
-        <type>16th</type>
-        <accidental>flat</accidental>
-        <stem>down</stem>
-        <staff>1</staff>
-        <beam number=""1"">begin</beam>
-        <beam number=""2"">begin</beam>
-        </note>
-      <note default-x=""126.02"" default-y=""-146.41"">
-        <pitch>
-          <step>B</step>
-          <alter>-1</alter>
-          <octave>5</octave>
-          </pitch>
-        <duration>1</duration>
-        <voice>1</voice>
-        <type>16th</type>
-        <stem>down</stem>
-        <staff>1</staff>
-        <beam number=""1"">continue</beam>
-        <beam number=""2"">continue</beam>
-        </note>
-      <note default-x=""155.43"" default-y=""-141.41"">
-        <pitch>
-          <step>C</step>
-          <octave>6</octave>
-          </pitch>
-        <duration>1</duration>
-        <voice>1</voice>
-        <type>16th</type>
-        <stem>down</stem>
-        <staff>1</staff>
-        <beam number=""1"">continue</beam>
-        <beam number=""2"">continue</beam>
-        </note>
-      <note default-x=""188.25"" default-y=""-136.41"">
-        <pitch>
-          <step>D</step>
-          <alter>-1</alter>
-          <octave>6</octave>
-          </pitch>
-        <duration>1</duration>
-        <voice>1</voice>
-        <type>16th</type>
-        <accidental>flat</accidental>
-        <stem>down</stem>
-        <staff>1</staff>
-        <beam number=""1"">end</beam>
-        <beam number=""2"">end</beam>
-        </note>
-      <direction placement=""below"">
-        <direction-type>
-          <wedge type=""diminuendo"" number=""1"" default-y=""-75.00"" />
-          </direction-type>
-        <staff>1</staff>
-        </direction>
-      <note default-x=""219.77"" default-y=""-131.41"">
-        <pitch>
-          <step>E</step>
-          <alter>-1</alter>
-          <octave>6</octave>
-          </pitch>
-        <duration>4</duration>
-        <voice>1</voice>
-        <type>quarter</type>
-        <accidental>flat</accidental>
-        <stem>down</stem>"
5989993_p2-s3.musicxml,"-        <type>eighth</type>
-        <stem>down</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""186.59"" default-y=""-134.10","--- 
+++ 
@@ -1,1191 +1,1030 @@
-<?xml version='1.0' encoding='utf-8'?>
-<score-partwise version=""3.1""><part-list><score-part id=""P2""><part-name>Piano</part-name></score-part></part-list><part id=""P2""><measure number=""25"" width=""371.87"">
-      <print>
-        <staff-layout number=""1"">
-          <staff-distance>99.10</staff-distance>
-          </staff-layout>
-        <staff-layout number=""2"">
-          <staff-distance>65.00</staff-distance>
-          </staff-layout>
-        </print>
-      <attributes><divisions>4</divisions>
-        <key>
-          <fifths>5</fifths>
-          </key>
-        <staves>2</staves>
-        <clef number=""1"">
-          <sign>G</sign>
-          <line>2</line>
-          </clef>
-        <clef number=""2"">
-          <sign>F</sign>
-          <line>4</line>
-          </clef>
-        </attributes><note default-x=""123.02"" default-y=""-169.10"">
-        <pitch>
-          <step>G</step>
-          <alter>1</alter>
-          <octave>4</octave>
-          </pitch>
-        <duration>2</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>down</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""123.02"" default-y=""-159.10"">
-        <chord />
-        <pitch>
-          <step>B</step>
-          <octave>4</octave>
-          </pitch>
-        <duration>2</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>down</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""123.02"" default-y=""-149.10"">
-        <chord />
-        <pitch>
-          <step>D</step>
-          <alter>1</alter>
-          <octave>5</octave>
-          </pitch>
-        <duration>2</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>down</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""123.02"" default-y=""-134.10"">
-        <chord />
-        <pitch>
-          <step>G</step>
-          <alter>1</alter>
-          <octave>5</octave>
-          </pitch>
-        <duration>2</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>down</stem>
-        <staff>1</staff>
-        </note>
-      <note>
-        <rest />
-        <duration>2</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <staff>1</staff>
-        </note>
-      <direction placement=""below"">
-        <direction-type>
-          <dynamics default-x=""3.25"" default-y=""-40.00"" relative-y=""-40.00"">
-            <ff />
-            </dynamics>
-          </direction-type>
-        <staff>1</staff>
-        <sound dynamics=""124.44"" />
-        </direction>
-      <note default-x=""186.59"" default-y=""-149.10"">
-        <pitch>
-          <step>D</step>
-          <alter>1</alter>
-          <octave>5</octave>
-          </pitch>
-        <duration>2</duration>
-        <voice>1</voice>"
6001349_p1-s2.musicxml,"-        <type>16th</type>
-        <stem>down</stem>
-        <staff>1</staff>
-        <notations>
-          <slur type=""stop"" number=""1"" />
-          </notations>
-        </","--- 
+++ 
@@ -1,1152 +1,883 @@
-<?xml version='1.0' encoding='utf-8'?>
-<score-partwise version=""3.1""><part-list><score-part id=""P2""><part-name>Piano</part-name></score-part></part-list><part id=""P2""><measure number=""3"" width=""526.65"">
-      <print>
-        <staff-layout number=""1"">
-          <staff-distance>105.50</staff-distance>
-          </staff-layout>
-        <staff-layout number=""2"">
-          <staff-distance>83.79</staff-distance>
-          </staff-layout>
-        </print>
-      <attributes><divisions>12</divisions>
-        <key>
-          <fifths>-4</fifths>
-          </key>
-        <staves>2</staves>
-        <clef number=""1"">
-          <sign>G</sign>
-          <line>2</line>
-          </clef>
-        <clef number=""2"">
-          <sign>F</sign>
-          <line>4</line>
-          </clef>
-        </attributes><direction placement=""below"">
-        <direction-type>
-          <dynamics default-x=""5.06"" default-y=""-40.00"" relative-y=""-40.00"">
-            <pp />
-            </dynamics>
-          </direction-type>
-        <staff>1</staff>
-        <sound dynamics=""36.67"" />
-        </direction>
-      <note>
-        <rest />
-        <duration>6</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <staff>1</staff>
-        </note>
-      <note default-x=""131.52"" default-y=""-125.50"">
-        <grace slash=""yes"" />
-        <pitch>
-          <step>C</step>
-          <octave>6</octave>
-          </pitch>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        <notations>
-          <slur type=""start"" placement=""below"" number=""1"" />
-          </notations>
-        </note>
-      <note default-x=""149.96"" default-y=""-115.50"">
-        <pitch>
-          <step>E</step>
-          <alter>-1</alter>
-          <octave>6</octave>
-          </pitch>
-        <duration>3</duration>
-        <voice>1</voice>
-        <type>16th</type>
-        <stem>down</stem>
-        <staff>1</staff>
-        <notations>
-          <slur type=""stop"" number=""1"" />
-          </notations>
-        </note>
-      <note>
-        <rest />
-        <duration>3</duration>
-        <voice>1</voice>
-        <type>16th</type>
-        <staff>1</staff>
-        </note>
-      <note default-x=""188.26"" default-y=""-135.50"">
-        <grace slash=""yes"" />
-        <pitch>
-          <step>A</step>
-          <alter>-1</alter>
-          <octave>5</octave>
-          </pitch>
-        <voice>1</voice>
-        <type>eighth</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        <notations>
-          <slur type=""start"" placement=""below"" number=""1"" />
-          </notations>
-        </note>
-      <note default-x=""206.70"" default-y=""-125.50"">
-        <pitch>
-          <step>C</step>
-          <octave>6</octave>
-          </pitch>
-        <duration>3</duration>
-        <voice>1</voice>"
6214848_p1-s3.musicxml,"-        <pitch>
-          <step>A</step>
-          <octave>4</octave>
-          </pitch>
-        <duration>8</duration>
-        <voice>1</voice>
-        <type>half</type","--- 
+++ 
@@ -1,465 +1,423 @@
-<?xml version='1.0' encoding='utf-8'?>
-<score-partwise version=""3.1""><part-list><score-part id=""P2""><part-name>Piano</part-name></score-part></part-list><part id=""P2""><measure number=""6"" width=""583.19"">
-      <print>
-        <staff-layout number=""1"">
-          <staff-distance>92.89</staff-distance>
-          </staff-layout>
-        <staff-layout number=""2"">
-          <staff-distance>65.00</staff-distance>
-          </staff-layout>
-        </print>
-      <attributes><divisions>4</divisions>
-        <key>
-          <fifths>-2</fifths>
-          </key>
-        <staves>2</staves>
-        <clef number=""1"">
-          <sign>G</sign>
-          <line>2</line>
-          </clef>
-        <clef number=""2"">
-          <sign>F</sign>
-          <line>4</line>
-          </clef>
-        </attributes><note default-x=""91.38"" default-y=""-187.89"">
-        <pitch>
-          <step>B</step>
-          <alter>-1</alter>
-          <octave>3</octave>
-          </pitch>
-        <duration>8</duration>
-        <voice>1</voice>
-        <type>half</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""91.38"" default-y=""-172.89"">
-        <chord />
-        <pitch>
-          <step>E</step>
-          <alter>-1</alter>
-          <octave>4</octave>
-          </pitch>
-        <duration>8</duration>
-        <voice>1</voice>
-        <type>half</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""91.38"" default-y=""-162.89"">
-        <chord />
-        <pitch>
-          <step>G</step>
-          <octave>4</octave>
-          </pitch>
-        <duration>8</duration>
-        <voice>1</voice>
-        <type>half</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""349.28"" default-y=""-192.89"">
-        <pitch>
-          <step>A</step>
-          <octave>3</octave>
-          </pitch>
-        <duration>8</duration>
-        <voice>1</voice>
-        <type>half</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""349.28"" default-y=""-182.89"">
-        <chord />
-        <pitch>
-          <step>C</step>
-          <octave>4</octave>
-          </pitch>
-        <duration>8</duration>
-        <voice>1</voice>
-        <type>half</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""349.28"" default-y=""-167.89"">
-        <chord />
-        <pitch>
-          <step>F</step>
-          <octave>4</octave>
-          </pitch>
-        <duration>8</duration>
-        <voice>1</voice>
-        <type>half</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""349.28"" default-y=""-157.89"">
-        <chord />"
5879039_p12-s1.musicxml,"-          </direction-type>
-        </direction>
-      <note default-x=""336.64"" default-y=""-190.75"">
-        <pitch>
-          <step>A</step>
-          <alter>-","--- 
+++ 
@@ -1,1003 +1,845 @@
-<?xml version='1.0' encoding='utf-8'?>
-<score-partwise version=""3.1""><part-list><score-part id=""P2""><part-name>Piano</part-name></score-part></part-list><part id=""P2""><measure number=""117"" width=""1336.92"">
-      <print>
-        <staff-layout number=""1"">
-          <staff-distance>90.75</staff-distance>
-          </staff-layout>
-        <staff-layout number=""2"">
-          <staff-distance>147.47</staff-distance>
-          </staff-layout>
-        </print>
-      <attributes><divisions>480</divisions>
-        <key>
-          <fifths>-4</fifths>
-          </key>
-        <staves>2</staves>
-        <clef number=""1"">
-          <sign>G</sign>
-          <line>2</line>
-          </clef>
-        <clef number=""2"">
-          <sign>F</sign>
-          <line>4</line>
-          </clef>
-        </attributes><note>
-        <rest />
-        <duration>80</duration>
-        <voice>1</voice>
-        <type>16th</type>
-        <time-modification>
-          <actual-notes>6</actual-notes>
-          <normal-notes>4</normal-notes>
-          </time-modification>
-        <staff>1</staff>
-        <notations>
-          <tuplet type=""start"" bracket=""no"" />
-          </notations>
-        </note>
-      <note default-x=""175.04"" default-y=""-170.75"">
-        <pitch>
-          <step>E</step>
-          <alter>-1</alter>
-          <octave>4</octave>
-          </pitch>
-        <duration>80</duration>
-        <voice>1</voice>
-        <type>16th</type>
-        <time-modification>
-          <actual-notes>6</actual-notes>
-          <normal-notes>4</normal-notes>
-          </time-modification>
-        <stem>up</stem>
-        <staff>1</staff>
-        <beam number=""1"">begin</beam>
-        <beam number=""2"">begin</beam>
-        <notations>
-          <slur type=""start"" placement=""above"" number=""1"" />
-          </notations>
-        </note>
-      <note default-x=""230.24"" default-y=""-190.75"">
-        <pitch>
-          <step>A</step>
-          <alter>-1</alter>
-          <octave>3</octave>
-          </pitch>
-        <duration>80</duration>
-        <voice>1</voice>
-        <type>16th</type>
-        <time-modification>
-          <actual-notes>6</actual-notes>
-          <normal-notes>4</normal-notes>
-          </time-modification>
-        <stem>up</stem>
-        <staff>1</staff>
-        <beam number=""1"">end</beam>
-        <beam number=""2"">end</beam>
-        </note>
-      <note default-x=""281.14"" default-y=""-170.75"">
-        <pitch>
-          <step>E</step>
-          <alter>-1</alter>
-          <octave>4</octave>
-          </pitch>
-        <duration>80</duration>
-        <voice>1</voice>
-        <type>16th</type>
-        <time-modification>
-          <actual-notes>6</actual-notes>
-          <normal-notes>4</normal-notes>
-          </time-modification>
-        <stem>up</stem>
-        <staff>1</staff>
-        <beam number=""1"">begin</beam>
-        <beam number=""2"">begin</beam>
-        </note>
-      <direction placement=""below"">
-        <direction-type>
-          <words default-y=""-41.77"" relative-x=""3.52"" relative-y=""-51.18"" font-style=""italic"" font-size=""13"">accel.</words>"
5118339_p6-s2.musicxml,"-          <step>B</step>
-          <octave>2</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>5</voice>
-        <type>quarter</type>
-        <","--- 
+++ 
@@ -1,724 +1,566 @@
-<?xml version='1.0' encoding='utf-8'?>
-<score-partwise version=""3.1""><part-list><score-part id=""P2""><part-name>Piano</part-name></score-part></part-list><part id=""P2""><measure number=""56"" width=""236.47"">
-      <print>
-        <staff-layout number=""1"">
-          <staff-distance>170.16</staff-distance>
-          </staff-layout>
-        <staff-layout number=""2"">
-          <staff-distance>75.00</staff-distance>
-          </staff-layout>
-        </print>
-      <attributes><divisions>12</divisions>
-        <key>
-          <fifths>4</fifths>
-          </key>
-        <staves>2</staves>
-        <clef number=""1"">
-          <sign>G</sign>
-          <line>2</line>
-          </clef>
-        <clef number=""2"">
-          <sign>F</sign>
-          <line>4</line>
-          </clef>
-        </attributes><note default-x=""113.41"" default-y=""-265.16"">
-        <pitch>
-          <step>B</step>
-          <octave>3</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>quarter</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        <notations>
-          <slur type=""stop"" number=""1"" />
-          </notations>
-        </note>
-      <note default-x=""113.41"" default-y=""-255.16"">
-        <chord />
-        <pitch>
-          <step>D</step>
-          <alter>1</alter>
-          <octave>4</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>quarter</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""113.41"" default-y=""-240.16"">
-        <chord />
-        <pitch>
-          <step>G</step>
-          <alter>1</alter>
-          <octave>4</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>1</voice>
-        <type>quarter</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <direction placement=""below"">
-        <direction-type>
-          <wedge type=""stop"" number=""1"" relative-x=""-10.00"" />
-          </direction-type>
-        <staff>1</staff>
-        </direction>
-      <note>
-        <rest />
-        <duration>6</duration>
-        <voice>1</voice>
-        <type>eighth</type>
-        <staff>1</staff>
-        </note>
-      <backup>
-        <duration>18</duration>
-        </backup>
-      <note default-x=""113.41"" default-y=""-400.16"">
-        <pitch>
-          <step>G</step>
-          <alter>1</alter>
-          <octave>1</octave>
-          </pitch>
-        <duration>12</duration>
-        <voice>5</voice>
-        <type>quarter</type>
-        <stem>up</stem>
-        <staff>2</staff>
-        <notations>
-          <slur type=""stop"" number=""2"" />
-          </notations>
-        </note>
-      <note default-x=""113.41"" default-y=""-365.16"">
-        <chord />
-        <pitch>"
6687153_p3-s3.musicxml,"-        </note>
-      <note default-x=""240.30"" default-y=""-156.03"">
-        <pitch>
-          <step>D</step>
-          <octave>4</octave>
-","--- 
+++ 
@@ -1,929 +1,758 @@
-<?xml version='1.0' encoding='utf-8'?>
-<score-partwise version=""3.1""><part-list><score-part id=""P2""><part-name>Piano</part-name></score-part></part-list><part id=""P2""><measure number=""38"" width=""362.52"">
-      <print>
-        <staff-layout number=""1"">
-          <staff-distance>91.03</staff-distance>
-          </staff-layout>
-        <staff-layout number=""2"">
-          <staff-distance>94.56</staff-distance>
-          </staff-layout>
-        </print>
-      <attributes>
-        <divisions>12</divisions>
-        <key>
-          <fifths>-3</fifths>
-          </key>
-        <staves>2</staves>
-        <clef number=""1"">
-          <sign>G</sign>
-          <line>2</line>
-          </clef>
-        <clef number=""2"">
-          <sign>F</sign>
-          <line>4</line>
-          </clef>
-        </attributes>
-      <note>
-        <rest />
-        <duration>24</duration>
-        <voice>1</voice>
-        <type>half</type>
-        <staff>1</staff>
-        </note>
-      <direction placement=""below"">
-        <direction-type>
-          <dynamics default-x=""6.50"" default-y=""-60.00"" relative-y=""-40.00"">
-            <p />
-            </dynamics>
-          </direction-type>
-        <staff>1</staff>
-        <sound dynamics=""54.44"" />
-        </direction>
-      <direction placement=""below"">
-        <direction-type>
-          <words font-family=""Edwin"" font-size=""10"" font-style=""italic"" default-y=""-95.00""> </words>
-          </direction-type>
-        <direction-type>
-          <wedge type=""crescendo"" number=""1"" default-y=""-95.00"" />
-          </direction-type>
-        <staff>1</staff>
-        </direction>
-      <note default-x=""218.56"" default-y=""-191.03"">
-        <pitch>
-          <step>A</step>
-          <alter>-1</alter>
-          <octave>3</octave>
-          </pitch>
-        <duration>24</duration>
-        <voice>1</voice>
-        <type>half</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <note default-x=""218.56"" default-y=""-156.03"">
-        <chord />
-        <pitch>
-          <step>A</step>
-          <alter>-1</alter>
-          <octave>4</octave>
-          </pitch>
-        <duration>24</duration>
-        <voice>1</voice>
-        <type>half</type>
-        <stem>up</stem>
-        <staff>1</staff>
-        </note>
-      <backup>
-        <duration>48</duration>
-        </backup>
-      <note print-object=""no"">
-        <rest />
-        <duration>24</duration>
-        <voice>2</voice>
-        <type>half</type>
-        <staff>1</staff>
-        </note>
-      <note default-x=""240.30"" default-y=""-176.03"">
-        <pitch>
-          <step>D</step>
-          <octave>4</octave>
-          </pitch>
-        <duration>6</duration>
-        <voice>2</voice>
-        <type>eighth</type>
-        <accidental>natural</accidental>
-        <stem>down</stem>
-        <staff>1</staff>
-        <beam number=""1"">begin</beam>"
